Player,Year,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
winner_name,2000,1,1,0,1.0,0,0,0,0,0,0,0,0,0
Tommy Haas,2000,44,25,19,0.5681818181818182,0.08208541320022185,0.056017748197448695,0.5427066001109262,0.7393970362800204,0,0.6342207432057682,0.36695701039617873,0,1.0032198479822747
Juan Balcells,2000,18,11,7,0.6111111111111112,0.06956521739130435,0.02140468227424749,0.7397993311036789,0.6862567811934901,0,0.6481605351170568,0.3702914001421464,0,1.052444188616937
Alberto Martin,2000,47,19,28,0.40425531914893614,0.026079136690647483,0.044964028776978415,0.6351918465227818,0.6314299197734781,0,0.5845323741007195,0.3966696402022004,0,0.9547546318286729
Juan Carlos Ferrero,2000,62,37,25,0.5967741935483871,0.043697478991596636,0.04276377217553688,0.5788982259570495,0.6867741935483871,0,0.6242763772175537,0.3894425987449243,0,1.0365134772758795
Michael Sell,2000,2,1,1,0.5,0.015463917525773196,0.020618556701030927,0.6752577319587629,0.6030534351145038,0,0.5721649484536082,0.4215686274509804,0,0.9853531774155444
Michael Chang,2000,65,40,25,0.6153846153846154,0.04544593826926718,0.02348040143912138,0.5570914599507669,0.698844323589395,0,0.6138988827873508,0.4090997851982035,0,1.0595664372887261
Magnus Gustafsson,2000,29,16,13,0.5517241379310345,0.050963597430406855,0.048822269807280515,0.6244111349036403,0.7098765432098766,0,0.6385438972162741,0.37166324435318276,0,1.0282389520908553
Thomas Johansson,2000,46,22,24,0.4782608695652174,0.10466004583651642,0.04558186911128088,0.48433919022154315,0.7770767613038907,0,0.6389101094983448,0.3658787255909558,0,1.013262168826293
Sjeng Schalken,2000,61,35,26,0.5737704918032787,0.06718014548566538,0.059050064184852376,0.5654685494223364,0.7222852818766553,0,0.6260162601626016,0.3857442348008386,0,1.0314465408805031
Tomas Behrend,2000,18,7,11,0.3888888888888889,0.03865425912670007,0.052970651395848244,0.5991410164638511,0.6666666666666666,0,0.5841088045812455,0.39858657243816253,0,0.9583914659141359
Gaston Gaudio,2000,50,26,24,0.52,0.03199365415124273,0.03939714436805923,0.6092014806980434,0.6592881944444444,0,0.5936012691697514,0.4015069967707212,0,0.987963215215919
Jiri Novak,2000,46,22,24,0.4782608695652174,0.04678362573099415,0.023113338902812586,0.6574770258980785,0.67429055484964,0,0.6115288220551378,0.3881156316916488,0,0.9990847551288249
Marc Rosset,2000,52,31,21,0.5961538461538461,0.13149470573750308,0.07953705983747845,0.5710416153656734,0.7852522639068564,0,0.6589509972913076,0.3650242886884108,0,1.070298654414178
John Van Lottum,2000,11,1,10,0.09090909090909091,0.03835227272727273,0.03835227272727273,0.5355113636363636,0.6127320954907162,0,0.5426136363636364,0.3412587412587413,0,0.7461060678451983
Jan Michael Gambill,2000,54,31,23,0.5740740740740741,0.1514476614699332,0.049220489977728286,0.5458797327394209,0.7935536515707874,0,0.6688195991091314,0.3626037570991699,0,1.0948828980331358
Magnus Norman,2000,85,61,24,0.7176470588235294,0.08236711338653817,0.02755609095015811,0.6271645836470411,0.7272509003601441,0,0.6511067610299653,0.40819764177428414,0,1.169978653009504
Albert Portas,2000,45,22,23,0.4888888888888889,0.06169296987087518,0.051936872309899566,0.5294117647058824,0.7132791327913279,0,0.599713055954089,0.38745933155871043,0,0.9679539573348429
Markus Hantschk,2000,40,19,21,0.475,0.04828226555246054,0.029712163416898793,0.5759826679046735,0.6775926921010209,0,0.6010523057876819,0.3784584980237154,0,0.9486418984597553
Andrei Medvedev,2000,36,20,16,0.5555555555555556,0.06503519946362722,0.03352329869259135,0.5732484076433121,0.6894736842105263,0,0.6024136775058666,0.4053781512605042,0,1.0195978290135617
Christophe Rochus,2000,36,14,22,0.3888888888888889,0.02456023896448722,0.054762694988383674,0.5738466644540325,0.6385193753614806,0,0.5695320278791902,0.37797513321492004,0,0.8780563426187773
Andrei Pavel,2000,55,32,23,0.5818181818181818,0.06526648599819332,0.03184281842818428,0.6492773261065944,0.6772173913043478,0,0.6239837398373984,0.3964669051878354,0,1.0543876613644056
Juan Antonio Marin,2000,28,8,20,0.2857142857142857,0.020756457564575646,0.035977859778597784,0.547509225092251,0.6208930075821398,0,0.5447416974169742,0.375185368264953,0,0.8241153783165331
Markus Hipfl,2000,18,7,11,0.3888888888888889,0.028450363196125907,0.02784503631961259,0.6464891041162227,0.6245318352059925,0,0.5823244552058111,0.39170225747406956,0,0.9378146802132795
Stefan Koubek,2000,52,25,27,0.4807692307692308,0.05420792079207921,0.047524752475247525,0.6042079207920792,0.6730848013109382,0,0.6051980198019802,0.37756394023803497,0,0.9563375038004146
Andrew Ilie,2000,45,21,24,0.4666666666666667,0.07059756742464304,0.03860391327340032,0.5259122157588577,0.7068878833584716,0,0.6070861977789529,0.3748278711098871,0,0.9539697231073976
Orlin Stanoytchev,2000,25,7,18,0.28,0.07910942681193747,0.08053055423969682,0.5693983893889152,0.6938435940099834,0,0.5878730459497868,0.35288367546432065,0,0.85624992977607
Sergi Bruguera,2000,31,16,15,0.5161290322580645,0.046268005237887384,0.02138804015713662,0.5988651243998254,0.6639941690962099,0,0.6001745962461807,0.40468227424749165,0,1.0121474784945452
Jeff Tarango,2000,34,10,24,0.29411764705882354,0.053536021150033045,0.06113681427627231,0.5816259087904825,0.6897727272727273,0,0.601123595505618,0.3649484536082474,0,0.914941193553071
Galo Blanco,2000,29,11,18,0.3793103448275862,0.07497781721384206,0.04259094942324756,0.5235137533274179,0.7186440677966102,0,0.6109139307897072,0.35919282511210765,0,0.9231706132299781
Thomas Enqvist,2000,71,51,20,0.7183098591549296,0.10909718625927844,0.05938201277403763,0.5423787329535646,0.7740292807129217,0,0.6635594683238392,0.39043287855819436,0,1.160481100814582
Ivan Ljubicic,2000,40,19,21,0.475,0.13771902858899476,0.03811865969873963,0.5321241930525669,0.7770075101097631,0,0.6372579157700584,0.34858595487766125,0,0.9609746705229085
Slava Dosedel,2000,36,16,20,0.4444444444444444,0.021269412559081703,0.028021607022282242,0.6900742741390952,0.6462818003913894,0,0.6046590141796083,0.4115978569177435,0,1.0411211376518839
Bohdan Ulihrach,2000,30,14,16,0.4666666666666667,0.03643724696356275,0.05218173639226271,0.5883940620782726,0.6574923547400612,0,0.5784975258659469,0.4101545253863135,0,0.9730773852014674
Federico Browne,2000,9,4,5,0.4444444444444444,0.042839657282741736,0.023255813953488372,0.6034271725826194,0.6430020283975659,0,0.5703794369645043,0.39787485242030696,0,0.9261075624711989
Jonas Bjorkman,2000,53,29,24,0.5471698113207547,0.048786292241789625,0.035221323179438366,0.6204188481675392,0.6977368622938244,0,0.6306520704426464,0.38883587786259544,0,1.0527631177697332
Fernando Meligeni,2000,32,13,19,0.40625,0.045401174168297455,0.05675146771037182,0.5710371819960861,0.67854694996573,0,0.5870841487279843,0.3733974358974359,0,0.904294264187629
Gaston Etlis,2000,11,2,9,0.18181818181818182,0.05644171779141104,0.044171779141104296,0.6245398773006134,0.6895874263261297,0,0.6085889570552148,0.3594692400482509,0,0.9183931994963151
Hernan Gumy,2000,28,10,18,0.35714285714285715,0.03975390440132513,0.04779933743492665,0.6232844297207761,0.6704631738800304,0,0.6010411736867014,0.3768796992481203,0,0.9446581310928568
Max Mirnyi,2000,49,24,25,0.4897959183673469,0.11363636363636363,0.04040404040404041,0.6449494949494949,0.7388410336726703,0,0.6558080808080808,0.34810951760104303,0,1.0113820173882102
Franco Squillari,2000,55,33,22,0.6,0.048415885765283356,0.07028112449799197,0.5316822846943329,0.7167436005035669,0,0.605310129406515,0.4062214089661482,0,1.0292167071714395
Martin Damm Sr,2000,30,14,16,0.4666666666666667,0.0779558250324816,0.043308791684711995,0.5773061931572109,0.7486871717929482,0,0.6466002598527502,0.33951434878587194,0,0.9607091070423756
Richard Fromberg,2000,37,18,19,0.4864864864864865,0.1089667458432304,0.03622327790973872,0.6018408551068883,0.7316230883078441,0,0.6368764845605701,0.36556603773584906,0,1.0067264228081274
Younes El Aynaoui,2000,57,34,23,0.5964912280701754,0.08843678638156528,0.036537263857172514,0.6167739256798838,0.7317401548300235,0,0.6447996678430559,0.3662117452440033,0,1.0310005709178047
Antony Dupuis,2000,17,4,13,0.23529411764705882,0.07981530343007916,0.027704485488126648,0.5837730870712401,0.6983050847457627,0,0.6193931398416886,0.3184480234260615,0,0.8366849281003625
Gianluca Pozzi,2000,47,25,22,0.5319148936170213,0.07638164754953077,0.03336809176225235,0.46454640250260687,0.7575757575757576,0,0.6233055265901981,0.3803287108371854,0,1.0096477057241822
Greg Rusedski,2000,38,19,19,0.5,0.11539729640619849,0.06231454005934718,0.5786350148367952,0.7549857549857549,0,0.6515001648532806,0.3526874585268746,0,1.0120161416386098
Jens Knippschild,2000,19,7,12,0.3684210526315789,0.09598948060486522,0.03944773175542406,0.5332018408941486,0.7657213316892725,0,0.6410256410256411,0.339238845144357,0,0.9450224971878517
Julien Boutter,2000,25,9,16,0.36,0.13716814159292035,0.09783677482792527,0.5398230088495575,0.7231329690346083,0,0.599803343166175,0.3788328387734916,0,0.9466167003258992
Justin Gimelstob,2000,29,13,16,0.4482758620689655,0.09925167388735723,0.05080740448995667,0.5919653406853091,0.7238855622089155,0,0.627412367073651,0.36262866191607285,0,0.9732707955654427
Fabrice Santoro,2000,56,30,26,0.5357142857142857,0.04208371246587807,0.034576888080072796,0.556869881710646,0.6875,0,0.6089626933575978,0.38346038346038347,0,0.9806235286165478
Mark Philippoussis,2000,58,39,19,0.6724137931034483,0.1728538283062645,0.060904872389791184,0.5607115235885538,0.8165517241379311,0,0.6919953596287703,0.34912671869193607,0,1.1335112298020675
Goran Ivanisevic,2000,32,11,21,0.34375,0.16568972254787026,0.08362641656897225,0.5185619382571317,0.7837226827430294,0,0.6295427901524033,0.32979591836734695,0,0.8902402479979336
David Wheaton,2000,4,1,3,0.25,0.08441558441558442,0.05844155844155844,0.5616883116883117,0.7283236994219653,0,0.6493506493506493,0.3404255319148936,0,0.970843183609141
Karol Kucera,2000,46,25,21,0.5434782608695652,0.08179419525065963,0.07065376722368807,0.523306948109059,0.7383753501400561,0,0.6147757255936676,0.4123592261045336,0,1.0704393609151934
Byron Black,2000,48,26,22,0.5416666666666666,0.04436130411544629,0.023784072688401926,0.6285408872260823,0.6921768707482994,0,0.6312132549438803,0.394185437401781,0,1.068870946925699
Sebastien Grosjean,2000,68,42,26,0.6176470588235294,0.05980816249764905,0.022381041940944143,0.5849163061876999,0.7009646302250804,0,0.6366372014293775,0.4098570905093441,0,1.1279555643054777
Davide Sanguinetti,2000,36,17,19,0.4722222222222222,0.09508771929824561,0.034035087719298245,0.5389473684210526,0.7330729166666666,0,0.6098245614035088,0.38740264138164576,0,0.992893460375621
Daniel Nestor,2000,11,4,7,0.36363636363636365,0.1019047619047619,0.06,0.6457142857142857,0.7227138643067846,0,0.6504761904761904,0.3206470028544244,0,0.917382433234729
Bob Bryan,2000,11,4,7,0.36363636363636365,0.09597156398104266,0.023696682464454975,0.6338862559241706,0.7308411214953271,0,0.6563981042654028,0.3190255220417633,0,0.9284742779422351
Todd Martin,2000,25,14,11,0.56,0.13834846519671423,0.041072200605274535,0.6221357544314743,0.7706740792216817,0,0.6701253782965845,0.3723014256619145,0,1.1286149378191457
Andre Sa,2000,27,12,15,0.4444444444444444,0.03166351606805293,0.03497164461247637,0.5902646502835539,0.6653322658126501,0,0.5921550094517959,0.395985401459854,0,0.9709213319687731
Michael Llodra,2000,11,4,7,0.36363636363636365,0.08620689655172414,0.06896551724137931,0.5476673427991886,0.725925925925926,0,0.6135902636916836,0.3678963110667996,0,0.9520886160416389
Arvind Parmar,2000,10,4,6,0.4,0.10250569476082004,0.03530751708428246,0.5979498861047836,0.7657142857142857,0,0.6594533029612756,0.3288888888888889,0,0.9657673727238943
Andre Agassi,2000,45,34,11,0.7555555555555555,0.07220943613348677,0.04142692750287687,0.6119102416570771,0.7395392571697226,0,0.6682968929804373,0.39697542533081287,0,1.1967793395055555
Marat Safin,2000,86,64,22,0.7441860465116279,0.1223185111521523,0.026282142349765593,0.5178292371075437,0.7810699588477367,0,0.657621821281432,0.3799060254284135,0,1.1096093414898764
Cedric Pioline,2000,48,29,19,0.6041666666666666,0.09794589178356713,0.05686372745490982,0.5285571142284569,0.7791469194312797,0,0.6490480961923848,0.3864025434091465,0,1.1010128146247773
Lleyton Hewitt,2000,67,52,15,0.7761194029850746,0.07935894960417068,0.0480787796871983,0.5290596640278046,0.752919708029197,0,0.6514771191349681,0.4108512628624883,0,1.1788358395373
Pete Sampras,2000,51,40,11,0.7843137254901961,0.14556397681676325,0.0637539010254124,0.6261703076237183,0.8127447490210039,0,0.7108782880071333,0.354997854997855,0,1.2278491731074614
Alex Corretja,2000,64,48,16,0.75,0.0764980875478113,0.03187420314492138,0.49468763280917977,0.7654639175257731,0,0.6540586485337867,0.4111310592459605,0,1.1884415017269596
